feature,permutation_importance_mean,permutation_importance_std
kp_index,0.04750000000000002,0.013333333333333332
battery_margin_pct,0.03250000000000003,0.014883809249576463
m_probability,0.028333333333333332,0.016115899671511426
payload_criticality,0.027500000000000014,0.009895285072531604
radiation_dose_rate,0.024583333333333346,0.009400428477232055
solar_wind_speed_kms,0.018333333333333368,0.007021791477646964
comms_dependency,0.012916666666666665,0.014367449707972218
proton_density_pcm3,0.006666666666666654,0.003333333333333341
c_probability,0.004583333333333339,0.018952609025906942
satellite_altitude_km,0.0,0.0
xray_flux,-0.0008333333333333304,0.002499999999999991
x_probability,-0.010833333333333306,0.006236095644623231
